_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,helpfulness,confidence,no,review,helpfulness_gold,rating,ratings_combined
2892106090,False,finalized,3,12/10/2020 22:54:18,helpful,1.0,23768,جيد. مديرة خدمة العملاء الانسه بشرى جدا متميزة وذات اخلاق عاليه. نظام التكييف يحتاج صيانه وغسيل ونطاقه,,4,pos_rating
2892106091,False,finalized,3,12/10/2020 22:54:18,helpful,1.0,173933,مقبول. موقع ممتاز. انتظار الاصنصير طويل لم يكن حجزي موجود رغم وجود رقم الحجز معي وصورة منه واعوني شقة مختلفةوتعامل الاستقبال سيء يقول اسف ما اقدر اعمل شي وانا مظطر مع اطفال وتعب السفر وو,,3,neutral_ratings
2892106092,False,finalized,3,12/10/2020 22:54:18,helpful,0.6765,213748,جيد. الموقع ، طاقم العمل بشوشين ، مكان الافطار صغير ولكن لابأس به فالافطار بسيط. ,,4,pos_rating
2892106093,False,finalized,3,12/10/2020 22:54:18,helpful,1.0,147649,“ممتازة”. كل شي رائع و نظيف و الاسرة نظيفة ومريحه وأيضا المكيافات رائعةالخدمات اللتي يقدمونها لنا القهوه والاشياء الاخرى رائعة. ١-تسجيل الدخول لدى الفندق ٢- الانترنت بطيء٣- لا يوجد تنوع في وجبة الافطار,,5,pos_rating
2892106094,False,finalized,3,12/10/2020 22:55:10,helpful,0.6604,89990,“اروع فندق”. كل شي كان فندق حقيقة اكثر من رائع. ولا شي,,5,pos_rating
2892106095,False,finalized,3,12/10/2020 22:55:10,helpful,1.0,37146,مخيب للأمل. الموقع - المسبح. موظفي الاستقبال - الخدمات,,2,neg_rating
2892106096,False,finalized,3,12/10/2020 22:55:10,helpful,0.6604,120073,ممتاز. راحه ومتعه. لاشي,,5,pos_rating
2892106097,False,finalized,3,12/10/2020 22:55:10,helpful,1.0,139505,“لاباس به”. الموظف سفير والاستاذ كريم. التلفاز صغير جدا ولايكاد يرى وازعاج الطائرات شي خيال,,3,neutral_ratings
2892106098,False,finalized,3,12/10/2020 22:56:16,helpful,1.0,194775,استثنائي. نظافة الفندق سرعة الخدمة وموقعه والفطور ممتاز والعاملين وقت الفطور جدا ممتازين واي خدمه اطلبها يلبونها كذلك كتبنا لهم انه محتفلين بمناسبة خاصة وارسلو لنا كيك والسعر ممتاز جدا كذلك اتمنى يستمر على هذاا المستوى. ,,5,pos_rating
2892106099,False,finalized,3,12/10/2020 22:56:16,helpful,0.6604,188695,استثنائي. كل شي روووعه. مافي شي,,5,pos_rating
2892106100,False,finalized,3,12/10/2020 22:56:16,helpful,0.6604,51664,“فندق رائع”. القرب من محطة المترو. أصوات بناء في مبنى مجاور,,4,pos_rating
2892106101,False,finalized,3,12/10/2020 22:56:16,helpful,1.0,37857,استثنائي. تتميز الغرف بالنظافة وطاقم العمل محترم جدا وتعاملهم راقي. لا يوجد شي سوى أن المرتبة غير مريحة قليلا,,5,pos_rating
2892106102,False,finalized,3,12/10/2020 22:56:54,helpful,0.6604,56293,مقبول. عدم وجود خمور ومناسب للعوائل وقربه من امارات مول. ﻻ يستحق 5 نجوم وﻻ تقييم رائع الذي خدعني في بوكنق يستحق 3 نجوم فندق ممل,,3,neutral_ratings
2892106103,False,finalized,3,12/10/2020 22:56:54,helpful,0.6604,23383,استثنائي. . لا يوجد للحمام خصوصيه,,5,pos_rating
2892106104,False,finalized,3,12/10/2020 22:56:54,helpful,1.0,23907,“فندق رائع”. الفطور منوع وممتاز والمكان نظيف وراقي. الاثاث مستهلك نوعا ما,,4,pos_rating
2892106105,False,finalized,3,12/10/2020 22:56:54,helpful,0.6604,106039,“روعة بكل المقاييس”. كل شي استثنائي. لا شي,,5,pos_rating
2892106106,False,finalized,3,12/10/2020 22:57:39,helpful,1.0,11696,جيد. مكان الفندق والنظافه والغرف واسعه وتحت مول الغرير حلو. استلام الغرفه ساعه 2 .. ودخول الفندق متعب شوي,,4,pos_rating
2892106107,False,finalized,3,12/10/2020 22:57:39,helpful,0.6604,11777,“الرحلة السعيدة”. . عدم وجود وجبة افطار مع الغرفة بدون مقابلوكذلك برأي ان يكون النت ضمن الغرفة مجاناً,,5,pos_rating
2892106108,False,finalized,3,12/10/2020 22:57:39,helpful,0.6604,51102,“جيد انصح به للعوائل”. بدون فطار اخذتالموقع. السعر,,3,neutral_ratings
2892106109,False,finalized,3,12/10/2020 22:57:39,helpful,0.6604,103139,ضعيف جداً. سيّء. كل حاجة في,,1,neg_rating
2892106110,False,finalized,3,12/10/2020 22:58:35,unrelated,0.6689,14063,“رحلتي كانت ممتازه”. كل شي. لا شي,,4,pos_rating
2892106111,False,finalized,3,12/10/2020 22:58:35,helpful,1.0,73575,مقبول. الخدمه جيده. عندما ارا الصور المعروضه غير صحيحه عندما وصلت الى الفندق دخلت بغرفه الاثاث قديم والفرشه قديمه وقذره من باب الحمام اكرمكم الله الى السرير الفرشه صايره سوداء من اقدام الناس,,3,neutral_ratings
2892106112,False,finalized,3,12/10/2020 22:58:35,helpful,1.0,170263,“راضى نوع ما”. قريب من كل شى ممنوع دخول الضيوف  امال الاستمرار بالمنع. سواء نظافه الفرش ويوجد اثار ع السرير مسبقهتم تصويرها  عندي بالجوال,,4,pos_rating
2892106113,False,finalized,3,12/10/2020 22:58:35,somewhat_helpful,0.3396,31940,جيد. اسلوب راقي مع النزﻻء. مروش دورة المياه مخرومه والماء يتوزع بشكل عشوائي,,4,pos_rating
2892106114,False,finalized,3,12/10/2020 22:59:29,helpful,0.6604,174236,“رائعه في غير اوقات الزحمه الموسمية”. الموقع وقربة من الخدمات. الانترنت غير مجاني وضعيف,,4,pos_rating
2892106115,False,finalized,3,12/10/2020 22:59:29,helpful,0.6604,153514,“فتدق جدا رائع والموظفون رائعون”. فندق جميل جدا وهادئ ونظيف. الواي فاي بحاجه الى تقويه,,5,pos_rating
2892106116,False,finalized,3,12/10/2020 22:59:29,helpful,0.6604,141918,“راعي الشرقية”. مكان جداً رائع ..نظيف وهادي واللي في الاستقبال تعاملهم راقي .فيه ملاحظة بسيطة سجلتها عند الاستقبال وإن شاء الله مانشوفها المرات الجاية. ,,5,pos_rating
2892106117,False,finalized,3,12/10/2020 22:59:29,helpful,0.6604,152245,“كل شي جميل”. كل شي رائع. موقعه وسط سوق كمبيوترات,,5,pos_rating
2892106118,False,finalized,3,12/10/2020 23:00:36,helpful,0.6604,154808,“شاليه روعه”. استمتعت بوقتي مع الاسره في اجواء ينبع الساحره و تصميم الشاليه الحلو والمسبح الخاص والساحل الجميل. لا يوجد,,4,pos_rating
2892106119,False,finalized,3,12/10/2020 23:00:36,helpful,1.0,203989,ضعيف. نظافة ... راقي. هاتف خدمة الغرف ( تحويلة) لا يردون على الإ بعد عدة إتصالات وهذا مزعج للعملاء,,2,neg_rating
2892106120,False,finalized,3,12/10/2020 23:00:36,helpful,1.0,68437,“بودل اول اختياراتي بكل سفراتي  واضطر اني احجز غيره لو كان مافيه مكان شاغر”. جميع الخدمات جميله وبودل بكل سفره افضل السكن فيها الاكل الخدمه الموقع النظافه طاقم العمل كلها جميله. لاشي,,5,pos_rating
2892106121,False,finalized,3,12/10/2020 23:00:36,helpful,0.6604,47022,استثنائي. كل شي ممتاز . وطاقم العمل ممتاز. لاشي,,5,pos_rating
2892106122,False,finalized,3,12/10/2020 23:00:59,helpful,1.0,91669,“رائع”. راحه ومافي ازعاج وتعامل الاستقبال معنا بابتسامه وشغل نظيف. النت مو سريع,,5,pos_rating
2892106123,False,finalized,3,12/10/2020 23:00:59,helpful,1.0,96988,“السعوديه - المنطقه الشرقيه”. . الاثاث قديم جدا ، مستلزمات الحمام وخاصه فوط الحمام قديمه جدا وعليها اثار دماء اعزكم الله ، ادوات المطبخ قليله,,2,neg_rating
2892106124,False,finalized,3,12/10/2020 23:00:59,helpful,1.0,125573,“الموقع رائع وجميل خصوصا للعائلات”. المسبح للاطفال والشاطئ البحري. ,,5,pos_rating
2892106125,False,finalized,3,12/10/2020 23:00:59,helpful,1.0,143746,“فندق رائع للعوائل”. الفندق جميل وشققه واسعة وخدماته سريعة. وجود التحسينات والترميمات,,5,pos_rating
2892106126,False,finalized,3,12/10/2020 23:01:18,helpful,0.6604,187361,“رائع”. المكان جديد ورائع وسعره معقول. حجزت شقة لخمسة اشخاص والواقع انها لاربعة اشخاص حيث ان سرير الاريكة الذي تم فتحه غير مريح نهائيا,,5,pos_rating
2892106127,False,finalized,3,12/10/2020 23:01:18,helpful,1.0,205110,حسن. الراحه والوايفاي. الرسبشن البعض تعامله زفت واذا بغيت تدخل او تخرج  مافيه الا عاملين يعني تتاخر بالدخول والخروج واما الغرف ضيقه جدا ولا تنفع ابد ابد ولا يستجيبون لشكاوي البوكنج,,3,neutral_ratings
2892106128,False,finalized,3,12/10/2020 23:01:18,helpful,0.6604,15670,“ازعاج من الجار”. النظافة والتعامل الراقي و الموقف. الغرفة مفصولة عن الجار ب باب والازعاج والاصوات طويلة,,4,pos_rating
2892106129,False,finalized,3,12/10/2020 23:01:18,helpful,1.0,100398,“كراون بلازا للراحة والفخامة أصول”. يمتلك مواقف خاصة للسايرات وهذا بحد ذاته جميلٌ جداً و ذو منفعه~الأكل في إفطار رمضان كان يتميز بوفرة الأصناف وجودة الأكل عالية جداً ذات مذاق شهي ~يعد الفندق الأجمل في تلك الناصية ~. لايوجد عدد موظفين كافٍ لخدمة النزلاء مما سبب في تأخري عن موعد السفر 45 دقيقة عند تسجيل الخروج~وأيضاً بعد رجوعي لمدينتي تفاجأت بإتصال من الفندق يسألني به الموظف عن إيصال نقاط سحب الفيزا ...!وهذا في وجهة نظري سوء إدارة فمن الواجب أن لايتصل الفندق بالنزيل لهذه الأسباب حيث أنني قد أطلعت الموظف الآخر على رسالة تأكيد الإستقطاع من بطاقة الفيزا بإسم الفندق نفسه عن طريق رسائل الجوال~,,4,pos_rating
2892106130,False,finalized,3,12/10/2020 23:02:03,helpful,1.0,35387,“عدم توفير متطلبات الضيف مثل  المكواه وعدم الاكتراث لطلاباته”. . عدم وجوج مواقف سيارات بالقرب من الفندق,,2,neg_rating
2892106131,False,finalized,3,12/10/2020 23:02:03,helpful,1.0,159459,مرضي. الافطار والسرير كانا ممتازيين. لم يكن هناك حوض لسباحة ولا احذيه للحمام,,3,neutral_ratings
2892106132,False,finalized,3,12/10/2020 23:02:03,helpful,1.0,37233,“قرب الموقع والنظافة”. الموقع قريب جدا من الراشد مول ، النظافة ، تعاون وتعامل ستاف الفندق وتواصلهم مع النزلاء اكثر من رائع. مساحة الشقة صغيرة نوعا ما ، حجزت غرفتين وصالة ويوجد بها فقط دورة مياة واحدة مساحتها صغيرة بها شاور لكن لايوجد بها بانيو ،  توجد غرفة يفصل بينها وبين غرفة اخرى في شقة اخرى باب خشب ، بحيث يمكن سماع الصوت والازعاج ، عدد المواقف محدود .,,5,pos_rating
