_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,helpfulness,confidence,no,review,review_en
2892106090,FALSE,finalized,3,12/10/2020 22:54:18,helpful,1,23768,جيد. مديرة خدمة العملاء الانسه بشرى جدا متميزة وذات اخلاق عاليه. نظام التكييف يحتاج صيانه وغسيل ونطاقه,"good. Director of Customer Service Miss Bushra very distinct and with high morals. Air conditioning system needs maintenance, washing and scope"
2892106091,FALSE,finalized,3,12/10/2020 22:54:18,helpful,1,173933,مقبول. موقع ممتاز. انتظار الاصنصير طويل لم يكن حجزي موجود رغم وجود رقم الحجز معي وصورة منه واعوني شقة مختلفةوتعامل الاستقبال سيء يقول اسف ما اقدر اعمل شي وانا مظطر مع اطفال وتعب السفر وو,"Acceptable. Excellent location. Waiting for a long Asnasir did not exist, despite my reservation there is reservation number with me and a picture of it and Aona apartment Mokhtlvhotaaml bad reception Sorry what he says do something I really appreciate and I Maztr with kids and tired travel Wu"
2892106092,FALSE,finalized,3,12/10/2020 22:54:18,helpful,0.6765,213748,جيد. الموقع ، طاقم العمل بشوشين ، مكان الافطار صغير ولكن لابأس به فالافطار بسيط.,"good. Location, staff Bchocan, place a small breakfast but simple good Not Valavtar."
2892106093,FALSE,finalized,3,12/10/2020 22:54:18,helpful,1,147649,“ممتازة”. كل شي رائع و نظيف و الاسرة نظيفة ومريحه وأيضا المكيافات رائعةالخدمات اللتي يقدمونها لنا القهوه والاشياء الاخرى رائعة. ١-تسجيل الدخول لدى الفندق ٢- الانترنت بطيء٣- لا يوجد تنوع في وجبة الافطار,"""Excellent"". Everything wonderful and clean and the beds are clean and comfortable and also Almkiavatt Raiahalkhaddmat which they bring us a wonderful coffee and other stuff. 1. Log in with the hotel 2 online Bte3- there is no diversity in breakfast"
2892106094,FALSE,finalized,3,12/10/2020 22:55:10,helpful,0.6604,89990,“اروع فندق”. كل شي كان فندق حقيقة اكثر من رائع. ولا شي,"""Finest hotel."" Everything was more than a hotel really wonderful. nothing"
2892106095,FALSE,finalized,3,12/10/2020 22:55:10,helpful,1,37146,مخيب للأمل. الموقع - المسبح. موظفي الاستقبال - الخدمات,disappointing. Location - swimming pool. Reception staff - Services
2892106096,FALSE,finalized,3,12/10/2020 22:55:10,helpful,0.6604,120073,ممتاز. راحه ومتعه. لاشي,Excellent. Comfortable and enjoyable. nothing
2892106097,FALSE,finalized,3,12/10/2020 22:55:10,helpful,1,139505,“لاباس به”. الموظف سفير والاستاذ كريم. التلفاز صغير جدا ولايكاد يرى وازعاج الطائرات شي خيال,"""it's OK"". Employee Ambassador and Professor Karim. TV is very small and barely see and nuisance Shi aircraft fantasy"
2892106098,FALSE,finalized,3,12/10/2020 22:56:16,helpful,1,194775,استثنائي. نظافة الفندق سرعة الخدمة وموقعه والفطور ممتاز والعاملين وقت الفطور جدا ممتازين واي خدمه اطلبها يلبونها كذلك كتبنا لهم انه محتفلين بمناسبة خاصة وارسلو لنا كيك والسعر ممتاز جدا كذلك اتمنى يستمر على هذاا المستوى.,"Exceptional. The hotel cleanliness speed service, location, excellent breakfast and staff time breakfast is very excellent Wi-service as well as we wrote Alponha Consult them that on the occasion of celebrating a special cake for us ?? Ship price is very excellent as well as I hope to continue on the Hmaa level."
2892106099,FALSE,finalized,3,12/10/2020 22:56:16,helpful,0.6604,188695,استثنائي. كل شي روووعه. مافي شي,Exceptional. Everything Rowoah. there's nothing
