_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,helpfulness,confidence,helpfulness_gold,no,review,review_en
2904680182,FALSE,finalized,3,12/23/2020 5:49:50,helpful,1,,9942,استثنائي. الحمدلله اقامتنا كانت طيبه واستمتعنا في الاقامه في فندق الفيصليه وكل الخدمات المقدمه كانت ممتازه بشكل عام. لاشيء,Exceptional. Praise be to Allah and our stay was a good we enjoyed staying in hotel Faysaliyah and all the services provided were excellent in general. nothing
2904680183,FALSE,finalized,3,12/23/2020 5:49:50,helpful,0.6667,,128309,“زيارة رائعه”. الافطار متنوع والاكل ممتاز السرير مريح طاقم العمل ودودين. عالاغلب الحمام والشاور ليس بالمستوى,"""Wonderful visit"". Breakfast is excellent and varied eating bed comfortable and friendly staff. Aalagelb bathroom and the level is not taking the shower"
2904680184,FALSE,finalized,3,12/23/2020 5:49:50,helpful,0.6667,,43035,“أنصح فيه بشددة”. ارتحناااا جدا في السكن والخدمة على أعلى المستويات .. للأمانة ولا شيء.,"""I would recommend it Bhddh."" Very Arthnaaaa in the housing and service at the highest levels .. Secretariat and nothing."
2904680185,FALSE,finalized,3,12/23/2020 5:49:50,somewhat_helpful,0.6667,,73118,جيد. توفر المواقف الاضافية امام الفندق. الميني بار داخل الغرفة كان به علب سيجارة بعدد كبير للاسف,good. Additional parking in front of the hotel provides. Minibar inside the room it was by cigarette packs a large number unfortunately
2904680186,FALSE,finalized,3,12/23/2020 5:50:49,helpful,0.6667,,23137,ممتاز. حفاوة الاستقبال من قبل الاستقبال وقد تم ترقية حجزي بدون مقابل نظرا لعدم توفر الغرفة التي قمت بحجزها.,Excellent. Warm reception by the reception has been upgraded my reservation without charge due to the lack of availability of the room that you booked.
2904680187,FALSE,finalized,3,12/23/2020 5:50:49,somewhat_helpful,0.3333,,5328,“ليس بذاك المستوى المأمول”. قربه من مول الامارات وقريب المتر مسافه كل منهما ٥ دقايق مشي السعر كان مقبول ١٠٠٠ ريال لثلاث ليالي. لم يعجبني ازعاج الممر واي احد يسولف في السيب تسمعه وكان المكيف خربان يطلع صوت والنت ضعيف جداً لايوجد بوفيه افطار كما ذكر عموماً لا اظن اني اكرر عودتي له,"""It is not hoped to that level."" Proximity to the Mall of the Emirates and close to each meter Distance 5 Dqaig walking the price was acceptable SR 1000 for three nights. I did not like the inconvenience and any one corridor Esolv in Seeb hear and was conditioned Khrban seen the voice of the net is very weak and does not have a buffet breakfast as mentioned in general I do not think I repeat my return to him"
2904680188,FALSE,finalized,3,12/23/2020 5:50:49,somewhat_helpful,0.6667,,72215,جيد. جميل وهادى وطاقم العمل ممتاز. السرير غيرمريح والحمام سيء المويه ماتتصرف,good. Beautiful Hadi and excellent crew work. The bed and the bathroom is bad Gurmerih Al Muwayh Mataatsrv
2904680189,FALSE,finalized,3,12/23/2020 5:50:49,unrelated,0.3333,,220526,ضعيف. . وسخ,Weak. . Dirty
2904680190,FALSE,finalized,3,12/23/2020 5:51:53,helpful,0.6667,,164600,“وجهه مميزه للاقامه لكن امل تجديد اثاث غرفة المعيشة”. تعامل الاستقبال رائع. انا اقمت في غرفة ١٨٠١ كنبات الصاله غير مناسبه للجلوس اطلاقا وكراسي طاولة الطعام سيئة جدا جدا  غير مريحه انا مستاء جدا من مستوى صالة المعيشه,"""His face Ultimate to stay, but I hope the renewal of living room furniture."" Treated wonderful reception. I stayed in room 1801 Couches lounge is not suitable to sit at all and chairs dining table is very bad very uncomfortable I am very unhappy with the standard of living room"
2904680191,FALSE,finalized,3,12/23/2020 5:51:53,helpful,0.6667,,53701,ممتاز. كل شيء فيه جميل وموقعه جميل جدا وكل شيء قريب منك .. بشكل عام الاقامه في هذا الفندق كانت جيده جداً.,Excellent. Where everything is beautiful and very beautiful location and everything close to you .. generally stay at this hotel was very good.
2904680192,FALSE,finalized,3,12/23/2020 5:51:53,helpful,0.6667,,88137,"“مقبول .”. الصور تختلف عن الواقع،بعيد عن مطاعم الهندية والعربية تبعد المطاعم السريعة""برجركنج ومكدونالز والطازج"" 20 دقيقة مشي تتخللها اجتياز شارع رائيسى،استقبال لا يعطيك من الترحيب والاهتمام ما تستحق ،انصح به لمن يستخدم سيارته وعنده الدراية بشوارع واماكن دبى المزدحمة .. الاستقبال، ديكور وممرات الفندق قديمة،بعد المطاعم العربية والهندية واماكن التسوق من الفندق .","""Acceptable ."". Images differ from reality, far from the Indian and Arab restaurants located restaurants fast ""Bergrkenj and Mikdonalz and fresh"" 20 minutes walk interspersed with passing Raiesi Street, the reception does not give you the welcome and attention it deserves, I advise anyone who uses his car and has the know-how through the streets and places of Dubai crowded .. Reception, decor and hotel corridors old, after the Arab and Indian restaurants and shopping areas of the hotel."
2904680193,FALSE,finalized,3,12/23/2020 5:51:53,somewhat_helpful,0.6667,,167678,استثنائي. الهدوئ والراحة التامه. رائحه الطبخ في الممرات,Exceptional. Quiet and rest complete. The smell of cooking in the corridors
2904680194,FALSE,finalized,3,12/23/2020 5:52:41,helpful,1,,16185,ممتاز. الاستقبال معاملتهم ممتازة وكذلك الواي فأي متوفر والشبكة قوية والنظافة ممتازة يوجد امام الاستقبال كوفي وبقالة مصغرة. السرير غير مريح والقنوات الفضائية قليلة جدا وخاصة الإخبارية,Excellent. The reception is excellent and treat them as well as Wi-Fi is available and a strong network and excellent hygiene in front of the reception there is a coffee and grocery mini. The bed is comfortable and very few private satellite news channels
2904680195,FALSE,finalized,3,12/23/2020 5:52:41,somewhat_helpful,0.3333,,44847,“الغرفه معفنه اما الفلل جيده”. مطل على البحر وجميل. الغرفه كانت سيئه صغيره جدا والحمام خربان وكتمه وصغيره تجيب الهم,"""The room Mavenh villas good."" Overlooking the sea and beautiful. The room was very small and bad bathroom Khrban and mute and a small answer carefree"
2904680196,FALSE,finalized,3,12/23/2020 5:52:41,helpful,1,,195398,“نتمنى الافضل”. نظافة الموقع خدمات الكفي وجود مواقف مضللة للسيارات توفير اسرة للاطفال بالمجان وجود مصلى .. صغر حجم الغرف جدا  لاتصلح لمن معه اطفال وغلاء الاسعار للتموين الغذائي,"""We wish the best."" Cleanliness of the site services pilot and having positions of misleading the car to provide a family for children free of charge and there is a chapel .. The rooms are very small size not suitable for those with children and high prices for food Supply"
2904680197,FALSE,finalized,3,12/23/2020 5:52:41,helpful,1,,12742,مرضي. مكان الاسترخاء ممتاز والمكان كذلك ممتاز والفلة ممتازة والموقع ع البحر ممتاز. لا تعجبني بتاتا خدمتهم تأخير في الرد على الهاتف وتأخير في الطلب اكثر من 45 دقيقة وكذلك الغلاء في الاكتفتي Jc وغيرها من الألعاب وخدمة wifi غالية 40درهم في الساعة والإرسال للهواتف داخل الفيلا ضعيف جداً جداً,"Patients. An excellent place to relax and place as well as excellent Fula excellent location p excellent sea. I do not like at all their service delay in answering the phone and delay in demand more than 45 minutes as well as price rises in Alaktefta Jc and other games and expensive service wifi AED 40 per hour and transmission phones inside the villa is very, very weak"
2904680198,FALSE,finalized,3,12/23/2020 5:53:16,helpful,1,,46730,“فندق اكثر من رائع ومساحة الغرفه ممتازة”. بصراحه كل شئ ممتاز.,"""More than a great hotel and an area of ​​excellent room."" Honestly everything is excellent."
2904680199,FALSE,finalized,3,12/23/2020 5:53:16,helpful,0.6667,,106519,جيد. الفعاليات الاطفال والالعاب واتمني المزيد. أسعار الفلل غاليه شويلايوجد مطاعم وجبات خفيفه باسعار معقوله,"good. Kids activities, games and wish more. Prices of villas Gallet Holiojd restaurants and snacks at very reasonable prices"
2904680200,FALSE,finalized,3,12/23/2020 5:53:16,helpful,1,,93068,استثنائي. الفندق ممتاز الصراحة بجواره جميع الخدمات سوبر ماركت ومول ومطاعم خصوصا مطعم دمشق يسار الفندق لذيذ جداااا والمترو يبعد عشر دقايق مشي مترو الرقة. لاشي,"Exceptional. The hotel is excellent candor next to all services supermarket, mall and restaurants, especially Damascus restaurant left of the hotel's delicious Jaddaaaa and the metro is ten Dqaig walk Metro tenderness. nothing"
2904680201,FALSE,finalized,3,12/23/2020 5:53:16,helpful,1,,63669,رائع. فندق رائع جدا الاطلاله والنظافة والديكور والأثاث. مروش غرفة النوم صغير جداوشطاف حمام الصاله على اليسار,"Gorgeous. Very cool hotel views, cleanliness, decor and furniture. Marroush small bedroom Jaddaohtaf bath lounge on the left"
2904680202,FALSE,finalized,3,12/23/2020 5:53:52,helpful,1,,49690,رائع. كل شئ جميل ومرتب ورائع الاستقبال رائع وخدوم العمال متعاونون ويلبون احتياجات النزيل بأسرع وقت كانت اقامه ممتعه جداً ومرافق لعب الاطفال ممتعه والاطلااله ووجود مطاعم تحت الشقق فخمه مثل المطعم التركي ومول وسوبر ماركت قريب. السعر مبالغ فيه ينقص الشقه طاوله ضيافه في منتصف الصاله لوضع القهوه والشاهي وافياش كهرباء بلقرب من المطبخ,"Gorgeous. Everything nice and tidy and wonderful reception wonderful and helpful collaborators workers and meet the guest's needs as soon as possible was a very pleasant stay facilities and children's toys and enjoyable Alatllh and the presence of restaurants under the apartments, such as luxurious Turkish restaurant and the mall and a nearby supermarket. Price exaggerated decreases flat table in the middle of the lounge guesthouses to put coffee and Shahi and Avyac electricity Belkrb from the kitchen"
2904680203,FALSE,finalized,3,12/23/2020 5:53:52,helpful,0.6667,,220499,“فندق أرتحت به”. الفندق نظيف جدا وبه خدمة توصيل للحرم على مدار الساعة.,"""I am relieved by the hotel."" The hotel is very clean and has a shuttle service to the campus around the clock."
2904680204,FALSE,finalized,3,12/23/2020 5:53:52,helpful,1,,221203,“جيده جدا”. خدمه الاستقبال ومستوي الغرف. توقيت الحافلات وخاصه وقت تغيير ورديه السائقين وعدم توفر خدمه الواي فأي بالغرف وخدمه الغرف لابد ان تطلبها اكثر من مره,"""Very good"". Service level reception rooms. The timing of buses and special time change drivers rosy and lack of Wi-rooms and room service must be requested more than once"
2904680205,FALSE,finalized,3,12/23/2020 5:53:52,somewhat_helpful,0.6667,,128764,“نعم”. قربه من المسجد النبوي  (الموقع ). الاكل الافطار النظافه تشطيب الحمامات,"""Yeah"". Proximity to the Prophet's Mosque (location). Eating breakfast Janitorial finishing bathrooms"
2904680206,FALSE,finalized,3,12/23/2020 5:54:35,somewhat_helpful,0.6667,,130080,مرضي. . بعده عن الحرم,Patients. . Distance from the Haram
2904680207,FALSE,finalized,3,12/23/2020 5:54:35,somewhat_helpful,0.6667,,84222,“الحسن مكان”. المكان طيب والخدمة ممتازة. لاشي,"""Hassan place."" Ok excellent service and location. nothing"
